fold,sample_id,base_mof_id,mof_name,atom_idx,element,x,y,z,graphlime_onem_xe_uptake_mmol_g,taban_tahmin_xe_uptake_mmol_g,gercek_xe_uptake_mmol_g,graphlime_onem_kr_uptake_mmol_g,taban_tahmin_kr_uptake_mmol_g,gercek_kr_uptake_mmol_g,graphlime_onem_xe_kr_selectivity,taban_tahmin_xe_kr_selectivity,gercek_xe_kr_selectivity,graphlime_onem_i2_uptake_mmol_g,taban_tahmin_i2_uptake_mmol_g,gercek_i2_uptake_mmol_g
1,finetune_000005_v00,finetune_000005,CuHC4O3,21,O,-4.84028959274292,4.435019493103027,-2.2091636657714844,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,22,O,-6.187789440155029,3.193798303604126,-3.3170182704925537,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,23,H,-0.829383134841919,-6.735971927642822,3.093454599380493,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,24,C,0.19517990946769714,-6.710113048553467,3.2364704608917236,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,25,Cu,3.421131134033203,-3.0769548416137695,2.445789337158203,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,26,Cu,-0.6553068161010742,-0.9694646596908569,3.4761886596679688,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,27,Cu,1.635933518409729,-2.417556047439575,4.768486976623535,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,28,Cu,-3.421476125717163,3.0774338245391846,-2.4454619884490967,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,29,Cu,0.6549618244171143,0.9699435234069824,-3.4758613109588623,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,30,Cu,-1.636278510093689,2.4180350303649902,-4.76815938949585,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
