fold,sample_id,base_mof_id,mof_name,atom_idx,element,x,y,z,subgraphx_onem,in_cekirdek_alt_graf
1,finetune_000005_v00,finetune_000005,CuHC4O3,44,C,-2.9090800285339355,6.219274997711182,-3.866354465484619,0.9598895298848759,False
1,finetune_000005_v00,finetune_000005,CuHC4O3,45,C,0.6360985040664673,-5.443032741546631,3.521496057510376,0.9599610026107925,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,46,C,2.039449453353882,-5.13272762298584,3.7622461318969727,0.9599649711805921,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,47,C,-1.5742359161376953,0.9958022832870483,-1.7467870712280273,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,48,C,-1.8164620399475098,-0.5557242631912231,0.21669749915599823,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,49,C,-2.3442325592041016,0.37519168853759766,-0.644067645072937,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,50,C,2.514694929122925,0.9052965641021729,-1.3769339323043823,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,51,C,2.0552046298980713,1.189743161201477,-5.955714702606201,0.9599793936065066,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,52,C,1.2293133735656738,0.3105447292327881,6.898250102996826,0.9599697865403871,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,53,C,1.0057848691940308,0.6467088460922241,-6.864083290100098,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,54,C,-0.27026867866516113,0.4269092381000519,-6.195537567138672,0.9599434485168654,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,55,C,0.26699092984199524,4.266937255859375,-3.685326099395752,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,56,C,2.911839246749878,-6.231725692749023,3.8737847805023193,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,57,C,-0.6364434361457825,5.443511962890625,-3.5211684703826904,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,58,C,-2.0335848331451416,5.133206367492676,-3.7627878189086914,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,59,O,0.6083458065986633,-0.2583483159542084,2.1159353256225586,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,60,O,1.8439663648605347,-1.9908863306045532,2.3952112197875977,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,61,O,-1.9034419059753418,-1.848663091659546,2.1433804035186768,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,62,O,3.2224764823913574,-1.7581573724746704,5.744887351989746,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,63,O,-2.046238899230957,-1.279770016670227,4.756275177001953,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,64,O,0.5928065180778503,-0.6850181221961975,4.899442195892334,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,65,O,-1.3695224523544312,-4.434540748596191,3.0786385536193848,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,66,O,-0.022022604942321777,-3.193319320678711,4.186493396759033,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,67,O,2.589031457901001,-3.9302945137023926,4.0848236083984375,0.9600184705576906,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,68,O,-0.6086907982826233,0.25882717967033386,-2.115607738494873,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,69,O,-1.844311237335205,1.9913651943206787,-2.394883871078491,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,70,O,1.9030969142913818,1.8491419553756714,-2.1430530548095703,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,71,O,-3.2228214740753174,1.758636236190796,-5.7445597648620605,0.9599705333472435,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,72,O,2.045893907546997,1.2802488803863525,-4.755948066711426,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,73,O,-0.5931515097618103,0.685496985912323,-4.899114608764648,0.9600348714553684,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,74,O,1.3691774606704712,4.435019493103027,-3.078310966491699,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,75,O,0.02167765237390995,3.193798303604126,-4.186165809631348,0.9599758496188837,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,76,O,-2.589376211166382,3.9307732582092285,-4.084496021270752,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,77,H,0.829038143157959,6.736450672149658,-3.0931272506713867,0.9599254039274384,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,78,C,-0.1924206018447876,6.697662353515625,-3.2290401458740234,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,79,Cu,5.5541605949401855,-0.9694646596908569,2.607041120529175,0.9199951436465583,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,80,Cu,2.7879910469055176,3.0774338245391846,-3.3146092891693115,0.9600257880436992,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,81,Cu,4.573188781738281,2.4180350303649902,-5.6373066902160645,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,82,H,7.063126087188721,0.8147908449172974,-0.8301976323127747,1.0,True
